product,division,product_family,product_subfamily,product_type,quality_tier,quality_score,generation,strategic_role,name,base_price,base_cost,base_demand,variable_sell_pct,fixed_prod_pct,portfolio_penetration,successor,initial_active,catalog_rank
SW-PLT-CORE-E,Software,Platform,Core Services,Core Platform,Essential,1,G2,Volume,Aureon Core Platform Essential,1119.77,154.31,3.0816,0.0378,0.04275,0.58,,True,1
SW-PLT-CORE-P,Software,Platform,Core Services,Core Platform,Professional,2,G2,Core,Aureon Core Platform Professional,1435.6,235.51,2.4075,0.035,0.045,0.48,,True,2
SW-PLT-CORE-X,Software,Platform,Core Services,Core Platform,Premium,3,G2,Premium,Aureon Core Platform Premium,2124.69,425.24,1.4926,0.0322,0.0495,0.34,,True,3
SW-PLT-WF-E,Software,Platform,Core Services,Workflow Engine,Essential,1,G2,Volume,Aureon Workflow Engine Essential,1200.58,171.44,2.88,0.0378,0.04275,0.58,,True,4
SW-PLT-WF-P,Software,Platform,Core Services,Workflow Engine,Professional,2,G2,Core,Aureon Workflow Engine Professional,1539.2,261.66,2.25,0.035,0.045,0.48,,True,5
SW-PLT-WF-X,Software,Platform,Core Services,Workflow Engine,Premium,3,G2,Premium,Aureon Workflow Engine Premium,2278.02,472.46,1.395,0.0322,0.0495,0.34,,True,6
SW-PLT-EDGE-E,Software,Platform,Edge Services,Edge Runtime,Essential,1,G2,Volume,Aureon Edge Runtime Essential,1281.38,189.39,2.6784,0.0378,0.04275,0.58,,True,1
SW-PLT-EDGE-P,Software,Platform,Edge Services,Edge Runtime,Professional,2,G2,Core,Aureon Edge Runtime Professional,1642.8,289.05,2.0925,0.035,0.045,0.48,,True,2
SW-PLT-EDGE-X,Software,Platform,Edge Services,Edge Runtime,Premium,3,G2,Premium,Aureon Edge Runtime Premium,2431.34,521.91,1.2973,0.0322,0.0495,0.34,,True,3
SW-PLT-API-E,Software,Platform,Edge Services,API Gateway,Essential,1,G1 Legacy,Harvest,Aureon API Gateway Essential,1362.19,463.15,2.4768,0.0378,0.04275,0.58,SW-PLT-API-E-NXT,True,4
SW-PLT-API-E-NXT,Software,Platform,Edge Services,API Gateway,Essential,1,G3,Growth,Aureon API Gateway NextGen Essential,1471.17,351.99,2.774,0.0378,0.04275,0.6599999999999999,,False,5
SW-PLT-API-P,Software,Platform,Edge Services,API Gateway,Professional,2,G2,Core,Aureon API Gateway Professional,1746.4,317.67,1.935,0.035,0.045,0.48,,True,6
SW-PLT-API-X,Software,Platform,Edge Services,API Gateway,Premium,3,G2,Premium,Aureon API Gateway Premium,2584.67,573.59,1.1997,0.0322,0.0495,0.34,,True,7
SW-SEC-IAM-E,Software,Security,Identity,Identity Access,Essential,1,G2,Volume,Aureon Identity Access Essential,1321.33,182.08,2.4036,0.0378,0.04275,0.58,,True,1
SW-SEC-IAM-P,Software,Security,Identity,Identity Access,Professional,2,G2,Core,Aureon Identity Access Professional,1694.01,277.9,1.8778,0.035,0.045,0.48,,True,2
SW-SEC-IAM-X,Software,Security,Identity,Identity Access,Premium,3,G2,Premium,Aureon Identity Access Premium,2507.13,501.78,1.1643,0.0322,0.0495,0.34,,True,3
SW-SEC-PAM-E,Software,Security,Identity,Privileged Access,Essential,1,G2,Volume,Aureon Privileged Access Essential,1416.68,202.3,2.2464,0.0378,0.04275,0.58,,True,4
SW-SEC-PAM-P,Software,Security,Identity,Privileged Access,Professional,2,G2,Core,Aureon Privileged Access Professional,1816.26,308.76,1.755,0.035,0.045,0.48,,True,5
SW-SEC-PAM-X,Software,Security,Identity,Privileged Access,Premium,3,G2,Premium,Aureon Privileged Access Premium,2688.06,557.5,1.0881,0.0322,0.0495,0.34,,True,6
SW-SEC-KMS-E,Software,Security,Protection,Key Management,Essential,1,G2,Volume,Aureon Key Management Essential,1512.03,223.48,2.0892,0.0378,0.04275,0.58,,True,1
SW-SEC-KMS-P,Software,Security,Protection,Key Management,Professional,2,G2,Core,Aureon Key Management Professional,1938.5,341.08,1.6321,0.035,0.045,0.48,,True,2
SW-SEC-KMS-X,Software,Security,Protection,Key Management,Premium,3,G2,Premium,Aureon Key Management Premium,2868.99,615.85,1.0119,0.0322,0.0495,0.34,,True,3
SW-SEC-CMP-E,Software,Security,Protection,Compliance Monitor,Essential,1,G1 Legacy,Harvest,Aureon Compliance Monitor Essential,1607.39,546.51,1.9319,0.0378,0.04275,0.58,SW-SEC-CMP-E-NXT,True,4
SW-SEC-CMP-E-NXT,Software,Security,Protection,Compliance Monitor,Essential,1,G3,Growth,Aureon Compliance Monitor NextGen Essential,1735.98,415.35,2.1637,0.0378,0.04275,0.6599999999999999,,False,5
SW-SEC-CMP-P,Software,Security,Protection,Compliance Monitor,Professional,2,G2,Core,Aureon Compliance Monitor Professional,2060.75,374.85,1.5093,0.035,0.045,0.48,,True,6
SW-SEC-CMP-X,Software,Security,Protection,Compliance Monitor,Premium,3,G2,Premium,Aureon Compliance Monitor Premium,3049.91,676.83,0.9358,0.0322,0.0495,0.34,,True,7
SW-ANL-BI-E,Software,Analytics,Business Analytics,Business Intelligence,Essential,1,G2,Volume,Aureon Business Intelligence Essential,1175.76,162.02,2.7118,0.0378,0.04275,0.58,,True,1
SW-ANL-BI-P,Software,Analytics,Business Analytics,Business Intelligence,Professional,2,G2,Core,Aureon Business Intelligence Professional,1507.38,247.29,2.1186,0.035,0.045,0.48,,True,2
