month,entity,division,account,journal_id,journal_type,debit,credit,component,movement,evidence_basis,customer,product,counterparty,description,cash_flow_category
2026-08,DE01,Software,1100_AR,SALE-2026-08-00000-DE01,sale,3685.52,0.0,Receivables,3685.52,Posted GL movement; not an invoice settlement allocation,C001,"<bound method Series.prod of month                                                  2026-08
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-E
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                         Essential
generation                                                  G2
strategic_role                                          Volume
quantity                                                   3.0
unit_price                                           1240.4155
revenue                                                3685.52
variable_production_cost                                536.71
variable_selling_cost                                   139.31
fixed_production_cost                                   157.56
marginal_contribution                                   3009.5
gross_profit                                           2851.94
opex                                                 655.24233
ebit_before_dep                                     2196.69767
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                             452.54233
workforce_opening_fte_allocated                       0.038795
workforce_hires_allocated                             0.000764
workforce_attrition_allocated                         0.000356
workforce_ending_fte_allocated                        0.039204
workforce_average_fte_allocated                       0.038999
non_people_opex_before_actions                           202.7
non_people_opex                                          202.7
Name: 0, dtype: object>",EXTERNAL,External customer invoice,
2026-08,DE01,Software,2100_AP,SERV-2026-08-00000-DE01,service_cost,0.0,536.71,Payables,-536.71,Posted GL movement; not an invoice settlement allocation,C001,"<bound method Series.prod of month                                                  2026-08
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-E
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                         Essential
generation                                                  G2
strategic_role                                          Volume
quantity                                                   3.0
unit_price                                           1240.4155
revenue                                                3685.52
variable_production_cost                                536.71
variable_selling_cost                                   139.31
fixed_production_cost                                   157.56
marginal_contribution                                   3009.5
gross_profit                                           2851.94
opex                                                 655.24233
ebit_before_dep                                     2196.69767
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                             452.54233
workforce_opening_fte_allocated                       0.038795
workforce_hires_allocated                             0.000764
workforce_attrition_allocated                         0.000356
workforce_ending_fte_allocated                        0.039204
workforce_average_fte_allocated                       0.038999
non_people_opex_before_actions                           202.7
non_people_opex                                          202.7
Name: 0, dtype: object>",EXTERNAL,Direct service delivery accrual,
2026-08,DE01,Software,2100_AP,FIX-2026-08-00000-DE01,fixed_production,0.0,157.56,Payables,-157.56,Posted GL movement; not an invoice settlement allocation,C001,"<bound method Series.prod of month                                                  2026-08
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-E
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                         Essential
generation                                                  G2
strategic_role                                          Volume
quantity                                                   3.0
unit_price                                           1240.4155
revenue                                                3685.52
variable_production_cost                                536.71
variable_selling_cost                                   139.31
fixed_production_cost                                   157.56
marginal_contribution                                   3009.5
gross_profit                                           2851.94
opex                                                 655.24233
ebit_before_dep                                     2196.69767
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                             452.54233
workforce_opening_fte_allocated                       0.038795
workforce_hires_allocated                             0.000764
workforce_attrition_allocated                         0.000356
workforce_ending_fte_allocated                        0.039204
workforce_average_fte_allocated                       0.038999
non_people_opex_before_actions                           202.7
non_people_opex                                          202.7
Name: 0, dtype: object>",EXTERNAL,Fixed delivery capacity accrual,
2026-08,DE01,Software,2100_AP,VARSELL-2026-08-00000-DE01,variable_selling,0.0,139.31,Payables,-139.31,Posted GL movement; not an invoice settlement allocation,C001,"<bound method Series.prod of month                                                  2026-08
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-E
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                         Essential
generation                                                  G2
strategic_role                                          Volume
quantity                                                   3.0
unit_price                                           1240.4155
revenue                                                3685.52
variable_production_cost                                536.71
variable_selling_cost                                   139.31
fixed_production_cost                                   157.56
marginal_contribution                                   3009.5
gross_profit                                           2851.94
opex                                                 655.24233
ebit_before_dep                                     2196.69767
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                             452.54233
workforce_opening_fte_allocated                       0.038795
workforce_hires_allocated                             0.000764
workforce_attrition_allocated                         0.000356
workforce_ending_fte_allocated                        0.039204
workforce_average_fte_allocated                       0.038999
non_people_opex_before_actions                           202.7
non_people_opex                                          202.7
Name: 0, dtype: object>",EXTERNAL,Variable selling accrual,
2026-08,DE01,Software,2100_AP,OPEX-2026-08-00000-DE01,opex,0.0,202.7,Payables,-202.7,Posted GL movement; not an invoice settlement allocation,C001,"<bound method Series.prod of month                                                  2026-08
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-E
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                         Essential
generation                                                  G2
strategic_role                                          Volume
quantity                                                   3.0
unit_price                                           1240.4155
revenue                                                3685.52
variable_production_cost                                536.71
variable_selling_cost                                   139.31
fixed_production_cost                                   157.56
marginal_contribution                                   3009.5
gross_profit                                           2851.94
opex                                                 655.24233
ebit_before_dep                                     2196.69767
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                             452.54233
workforce_opening_fte_allocated                       0.038795
workforce_hires_allocated                             0.000764
workforce_attrition_allocated                         0.000356
workforce_ending_fte_allocated                        0.039204
workforce_average_fte_allocated                       0.038999
non_people_opex_before_actions                           202.7
non_people_opex                                          202.7
Name: 0, dtype: object>",EXTERNAL,Non-people operating expense accrual,
2026-08,DE01,Software,1100_AR,SALE-2026-08-00001-DE01,sale,4725.02,0.0,Receivables,4725.02,Posted GL movement; not an invoice settlement allocation,C001,"<bound method Series.prod of month                                                  2026-08
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-P
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                      Professional
generation                                                  G2
strategic_role                                            Core
quantity                                                   3.0
unit_price                                           1590.2734
revenue                                                4725.02
variable_production_cost                                819.13
variable_selling_cost                                   165.38
fixed_production_cost                                   212.63
marginal_contribution                                  3740.51
gross_profit                                           3527.88
opex                                                840.061782
ebit_before_dep                                    2687.818218
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                            580.181782
workforce_opening_fte_allocated                       0.049737
workforce_hires_allocated                             0.000979
workforce_attrition_allocated                         0.000456
workforce_ending_fte_allocated                        0.050261
workforce_average_fte_allocated                       0.049999
non_people_opex_before_actions                          259.88
non_people_opex                                         259.88
Name: 1, dtype: object>",EXTERNAL,External customer invoice,
2026-08,DE01,Software,2100_AP,SERV-2026-08-00001-DE01,service_cost,0.0,819.13,Payables,-819.13,Posted GL movement; not an invoice settlement allocation,C001,"<bound method Series.prod of month                                                  2026-08
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-P
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                      Professional
generation                                                  G2
strategic_role                                            Core
quantity                                                   3.0
unit_price                                           1590.2734
revenue                                                4725.02
variable_production_cost                                819.13
variable_selling_cost                                   165.38
fixed_production_cost                                   212.63
marginal_contribution                                  3740.51
gross_profit                                           3527.88
opex                                                840.061782
ebit_before_dep                                    2687.818218
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                            580.181782
workforce_opening_fte_allocated                       0.049737
workforce_hires_allocated                             0.000979
workforce_attrition_allocated                         0.000456
workforce_ending_fte_allocated                        0.050261
workforce_average_fte_allocated                       0.049999
non_people_opex_before_actions                          259.88
non_people_opex                                         259.88
Name: 1, dtype: object>",EXTERNAL,Direct service delivery accrual,
2026-08,DE01,Software,2100_AP,FIX-2026-08-00001-DE01,fixed_production,0.0,212.63,Payables,-212.63,Posted GL movement; not an invoice settlement allocation,C001,"<bound method Series.prod of month                                                  2026-08
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-P
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                      Professional
generation                                                  G2
strategic_role                                            Core
quantity                                                   3.0
unit_price                                           1590.2734
revenue                                                4725.02
variable_production_cost                                819.13
variable_selling_cost                                   165.38
fixed_production_cost                                   212.63
marginal_contribution                                  3740.51
gross_profit                                           3527.88
opex                                                840.061782
ebit_before_dep                                    2687.818218
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                            580.181782
workforce_opening_fte_allocated                       0.049737
workforce_hires_allocated                             0.000979
workforce_attrition_allocated                         0.000456
workforce_ending_fte_allocated                        0.050261
workforce_average_fte_allocated                       0.049999
non_people_opex_before_actions                          259.88
non_people_opex                                         259.88
Name: 1, dtype: object>",EXTERNAL,Fixed delivery capacity accrual,
2026-08,DE01,Software,2100_AP,VARSELL-2026-08-00001-DE01,variable_selling,0.0,165.38,Payables,-165.38,Posted GL movement; not an invoice settlement allocation,C001,"<bound method Series.prod of month                                                  2026-08
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-P
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                      Professional
generation                                                  G2
strategic_role                                            Core
quantity                                                   3.0
unit_price                                           1590.2734
revenue                                                4725.02
variable_production_cost                                819.13
variable_selling_cost                                   165.38
fixed_production_cost                                   212.63
marginal_contribution                                  3740.51
gross_profit                                           3527.88
opex                                                840.061782
ebit_before_dep                                    2687.818218
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                            580.181782
workforce_opening_fte_allocated                       0.049737
workforce_hires_allocated                             0.000979
workforce_attrition_allocated                         0.000456
workforce_ending_fte_allocated                        0.050261
workforce_average_fte_allocated                       0.049999
non_people_opex_before_actions                          259.88
non_people_opex                                         259.88
Name: 1, dtype: object>",EXTERNAL,Variable selling accrual,
2026-08,DE01,Software,2100_AP,OPEX-2026-08-00001-DE01,opex,0.0,259.88,Payables,-259.88,Posted GL movement; not an invoice settlement allocation,C001,"<bound method Series.prod of month                                                  2026-08
entity                                                    DE01
division                                              Software
customer                                                  C001
customer_segment                                        Growth
product                                          SW-PLT-CORE-P
product_family                                        Platform
product_subfamily                                Core Services
product_type                                     Core Platform
quality_tier                                      Professional
generation                                                  G2
strategic_role                                            Core
quantity                                                   3.0
unit_price                                           1590.2734
revenue                                                4725.02
variable_production_cost                                819.13
variable_selling_cost                                   165.38
fixed_production_cost                                   212.63
marginal_contribution                                  3740.51
gross_profit                                           3527.88
opex                                                840.061782
ebit_before_dep                                    2687.818218
source_factory                                                
management_action_count                                      0
management_action_price_uplift_pct                         0.0
management_action_volume_uplift_pct                        0.0
management_action_variable_cost_reduction_pct              0.0
management_action_opex_reduction_pct                       0.0
management_action_revenue_impact                           0.0
management_action_gross_profit_impact                      0.0
management_action_opex_impact                              0.0
management_action_ebit_impact                              0.0
personnel_cost_allocated                            580.181782
workforce_opening_fte_allocated                       0.049737
workforce_hires_allocated                             0.000979
workforce_attrition_allocated                         0.000456
workforce_ending_fte_allocated                        0.050261
workforce_average_fte_allocated                       0.049999
non_people_opex_before_actions                          259.88
non_people_opex                                         259.88
Name: 1, dtype: object>",EXTERNAL,Non-people operating expense accrual,
